,satur index,sterol conc,particle,starting conf,compress,perm,perm err,thickness
0,0.0,26,S,LOrdered,,11.28183463854014,1.6206993376036014,
1,0.15,45,R,LOrdered,158.91365238898035,10.175333439488925,3.041855463558876,4.31489020780041
2,0.25,45,R,LOrdered,135.98858794462546,19.794465064917496,6.626882835806267,4.244257058836531
3,0.4,45,R,LOrdered,105.08581893350787,23.187985949596435,5.543970032906332,4.145742414950284
4,0.3,45,R,LOrdered,121.39417165305899,21.270064507490726,6.7689326055917105,4.213633868719242
5,0.05,45,R,LOrdered,203.4940405403115,4.74709512683584,1.3223860280515773,4.378589217767107
6,0.0,45,R,LOrdered,227.07060702397322,3.4192190828784113,1.001107133873697,4.407434747096701
7,0.1,45,R,LOrdered,179.7053467430383,7.92053342664446,2.8085394892214772,4.346408604118956
8,0.2,45,R,LOrdered,152.74068000701456,14.352015521583093,4.643106220722284,4.282011016161569
9,0.35,45,R,LOrdered,115.11507251000899,16.651677330945954,4.505581043961567,4.181711336084355
10,0.5,45,R,LOrdered,92.77631166273727,36.462859376078846,11.670092728153648,4.08566893507129
11,0.45,45,R,LOrdered,96.55119220317007,27.15960918343124,7.897558885350207,4.111430828861437
12,0.15,45,T,LOrdered,167.79715935611802,11.248504498813485,2.1239663712960493,4.314077503140531
13,0.25,45,T,LOrdered,134.04858058452012,14.114441428830308,2.8721582788853075,4.246384189681422
14,0.4,45,T,LOrdered,105.28941847615393,16.460950635711708,2.788906551060543,4.146319365486249
15,0.3,45,T,LOrdered,124.10069855546026,15.144045687828829,2.7213871531168534,4.213249767256357
16,0.05,45,T,LOrdered,201.28121351009304,9.405371449355647,1.6653904688836443,4.378142774950646
17,0.0,45,T,LOrdered,224.09612295085316,8.442021938734474,1.4036940518547871,4.407142708559206
18,0.1,45,T,LOrdered,182.1786632361854,12.775526926693972,2.508298074701181,4.348991778722514
19,0.2,45,T,LOrdered,148.86633513568157,11.103567148271173,2.123216157066705,4.2831703085124815
20,0.35,45,T,LOrdered,111.92239064775494,15.014527680308639,3.0701011554607924,4.177301056704941
21,0.5,45,T,LOrdered,93.19363127003562,16.319398338735496,2.528366394875439,4.084809859438444
22,0.45,45,T,LOrdered,97.29353502632273,16.279180458027973,2.698613685476385,4.112128984409772
23,0.15,45,S,LOrdered,164.0812020542002,8.546171028304128,1.8459137569442847,4.315956023591852
24,0.25,45,S,LOrdered,134.23667034528643,11.730075298786556,2.230532878235229,4.2457742554024165
25,0.4,45,S,LOrdered,107.50934652264093,17.09651916320949,3.472268518140094,4.147816945079434
26,0.3,45,S,LOrdered,121.37463642071573,13.973429940555942,2.9818043717360037,4.212960172596524
27,0.05,45,S,LOrdered,206.15424704810044,7.252824539924195,1.7834185322841087,4.373822150592993
28,0.0,45,S,LOrdered,219.0511917433545,5.922501789474597,1.6274270205170434,4.406062485641058
29,0.0,45,S,LOrdered(1),,5.870740229334926,1.132085455823391,
30,0.1,45,S,LOrdered,183.07324256200644,7.214556294736397,1.6088410801414863,4.345567728505991
31,0.2,45,S,LOrdered,146.93477027672824,9.926312880262223,1.8883926138709906,4.280332344568393
32,0.35,45,S,LOrdered,115.58238487388569,11.020802029025067,1.9105962757220623,4.179017666950138
33,0.5,45,S,LOrdered,92.42909628488577,16.502108971414287,3.0115393130290613,4.085631842474044
34,0.45,45,S,LOrdered,97.61939511800139,17.169280573460235,3.463702780447351,4.116318195337826
35,0.2,15,R,gel,18.527468762554715,42.67580803584862,22.07588016717912,4.203215947526068
36,0.2,15,R,fluid,68.24824446644125,38.157663250513075,8.55094037637724,4.193291115819761
37,0.3,15,R,gel,52.20229575606829,38.507070553733854,11.471784475318817,4.09441732067063
38,0.3,15,R,fluid,64.92023754643203,38.63302275891216,8.48993704344386,4.090683070773238
39,0.05,15,R,gel,535.393498815576,2.1301215245286502,3.145505876252444,4.958642935676394
40,0.05,15,R,fluid,72.65846583151712,28.018494103254437,7.353097169971078,4.3898384117430105
41,0.5,15,R,gel,59.096984638605036,45.031418697710265,9.90721133246923,3.9419096905571607
42,0.5,15,R,fluid,61.10813221297409,81.63229264898132,21.846432912543765,3.941999746921482
43,0.0,15,R,gel,622.7736281224229,0.12474019815873559,0.31655716588951666,4.970768561587242
44,0.0,15,R,fluid,18.90816711126887,2.5011100699433952,18.962226598934613,4.937816453099501
45,0.1,15,R,gel,459.3825663471017,1.27970111118217,2.4160855763831597,4.9533862824421035
46,0.1,15,R,fluid,70.85258533352864,46.718591906638714,12.483090815301361,4.316817210229971
47,0.45,15,R,gel,58.68420437040557,44.28357036000797,10.092559006249733,3.9706240365841765
48,0.45,15,R,fluid,62.12837790912957,53.365899591006844,12.196358450674678,3.9724767340176577
49,0.25,15,R,gel,29.752755877281025,50.60096309642528,12.505244557239882,4.1445634958069135
50,0.25,15,R,fluid,65.58988239491835,55.894573044869645,14.635777012683466,4.141640000658576
51,0.15,15,R,gel,3.3810628540255525,24.880165845054808,9.555917045734901,4.323716088696674
52,0.15,15,R,fluid,68.49313102014861,42.61632201880716,9.171107545870939,4.251369381569383
53,0.4,15,R,gel,55.3357800725957,49.60462734052316,12.453949953183427,4.008219420694701
54,0.4,15,R,fluid,63.720000338674765,61.070988013426934,16.349735349182065,4.0104151928693454
55,0.35,15,R,gel,52.39764005979756,42.805297424269135,7.6647975941460675,4.050130129696832
56,0.35,15,R,fluid,64.24974482310262,50.037901141077846,11.85037460315904,4.0481376944026515
57,0.2,15,T,gel,9.260612122623934,12.046286404401803,3.0726870469009766,4.213874586185671
