,satur index,sterol conc,particle,compress,perm,perm err,starting conf_LOrdered,starting conf_fluid,starting conf_gel
74,0.4,15,T,54.49778984243212,0.851828349229427,0.13331614536898956,0,0,1
75,0.4,15,T,63.00472485076593,0.835567570839414,0.1418217057600787,0,1,0
76,0.35,15,T,56.37560028848953,0.5935467757416001,0.10412465737758402,0,0,1
77,0.35,15,T,65.08787009978859,0.6968060393672495,0.1130146978424606,0,1,0
78,0.2,15,S,6.686742405040278,0.16283329195161814,0.04072337102155242,0,0,1
79,0.2,15,S,67.84831404508834,0.5366588275510598,0.0952765908790752,0,1,0
80,0.3,15,S,41.90029150910053,0.6352867428700659,0.11601382287488478,0,0,1
81,0.3,15,S,64.2742727276631,0.7199465114228704,0.1656080663627451,0,1,0
82,0.05,15,S,509.80713150252836,0.011688562352440611,0.003754221796956144,0,0,1
83,0.05,15,S,71.07503268969786,0.4013766635887839,0.07848503984648912,0,1,0
84,0.5,15,S,56.595999593044176,0.9279908866786154,0.17859819154777914,0,0,1
85,0.5,15,S,62.017524540097476,0.6633042274102952,0.1299731102999263,0,1,0
86,0.0,15,S,617.9485574774693,0.007107106608050216,0.0022071894929947137,0,0,1
87,0.0,15,S,,0.019705681697370924,0.01818440199153376,0,1,0
88,0.0,15,S,,0.0056471116468423625,0.002863509455905935,0,0,1
89,0.0,15,S,100.44391872307895,0.009888633034914534,0.007280315846618565,0,1,0
90,0.1,15,S,431.23078965430864,0.013659888048149816,0.0045428391048460606,0,0,1
91,0.1,15,S,71.9538263009527,0.46903086860851073,0.07151221282131248,0,1,0
92,0.45,15,S,56.61925940793604,0.9885480553074519,0.20569811377941455,0,0,1
93,0.45,15,S,61.27533249918163,0.6978593675805038,0.11697293721513258,0,1,0
94,0.25,15,S,18.326838494065203,0.5211339762715038,0.1087474422396244,0,0,1
95,0.25,15,S,67.1931817416751,0.6869772261867165,0.11880438481650309,0,1,0
96,0.15,15,S,358.5606416591834,0.02005407570315107,0.004854014726038205,0,0,1
97,0.15,15,S,69.95179781216274,0.5114133297427713,0.08325440786566465,0,1,0
98,0.4,15,S,56.42470480690822,0.6189488966759283,0.09709592573382231,0,0,1
99,0.4,15,S,61.73962981167631,0.8174867755821325,0.14417283577596005,0,1,0
100,0.35,15,S,53.7459195804576,0.6028651369027659,0.11385316824994487,0,0,1
101,0.35,15,S,63.30599305252709,0.6443613407602807,0.1257307037866068,0,1,0
102,0.2,30,R,95.67867749687008,0.2595021911893371,0.0765126828243338,1,0,0
103,0.3,30,R,82.84765718390364,0.3169570048834653,0.08370751147359837,1,0,0
104,0.05,30,R,117.33703081997886,0.1670766068647389,0.049022187762745764,1,0,0
105,0.5,30,R,71.94735061484738,0.42358117917872173,0.10025139355545828,1,0,0
106,0.0,30,R,115.54169468337678,0.15305230128570363,0.04208063048168288,1,0,0
107,0.1,30,R,105.47675234156428,0.13606849675070612,0.030891923209710657,1,0,0
108,0.45,30,R,72.67184623477392,0.4271931809609777,0.1534701016345683,1,0,0
109,0.25,30,R,88.13673357949975,0.33946211662514975,0.18806156627783574,1,0,0
110,0.15,30,R,98.26567554074259,0.20149282487982875,0.05970952020951064,1,0,0
111,0.4,30,R,74.91365731490167,0.30452197932594427,0.07067176183299313,1,0,0
112,0.35,30,R,78.88796100827244,0.38451321708625713,0.10514829445626164,1,0,0
113,0.2,30,T,93.66713806176381,0.4678338148674356,0.06755701916155055,1,0,0
114,0.3,30,T,83.08712922913827,0.534755123260229,0.08495753465301388,1,0,0
115,0.05,30,T,115.73890180333768,0.2727511448437814,0.0472413120728757,1,0,0
116,0.5,30,T,70.2722239295058,0.6083348465738989,0.10344959315454481,1,0,0
117,0.0,30,T,117.3784715708444,0.2838380289297329,0.04432356161346372,1,0,0
118,0.1,30,T,107.07231399124494,0.34599207301781626,0.05048510694100403,1,0,0
119,0.45,30,T,75.52717045343483,0.5606351825413932,0.08240123685023859,1,0,0
120,0.25,30,T,88.4119195448662,0.6539270676995383,0.1300328622237893,1,0,0
121,0.15,30,T,101.76540948607537,0.4566541577302523,0.07972982178129884,1,0,0
122,0.4,30,T,75.50311352017361,0.5572508458039706,0.09269359858141923,1,0,0
123,0.35,30,T,80.29785543351029,0.6671219815659506,0.13992113750132903,1,0,0
124,0.2,30,S,93.88542617679892,0.46344881919667613,0.08979311678325706,1,0,0
125,0.3,30,S,83.26767944388959,0.40472975301285147,0.07591330037285354,1,0,0
126,0.05,30,S,112.84607851300696,0.2893938114079364,0.05090267254162531,1,0,0
127,0.5,30,S,70.55613340075331,0.7608228545218145,0.19449437797697805,1,0,0
128,0.0,30,S,115.75397135927751,0.1752791719789992,0.027831679795128964,1,0,0
129,0.0,30,S,,0.1690068237105024,0.028174007738241948,1,0,0
130,0.1,30,S,109.70970543179052,0.23967101576643732,0.03732721406204529,1,0,0
131,0.45,30,S,74.05172671027266,0.5884790051652156,0.11463526824655856,1,0,0
132,0.25,30,S,88.93270546949906,0.5004992441827585,0.11484562948605109,1,0,0
133,0.15,30,S,104.37435240429431,0.2919775267827562,0.05278039896007184,1,0,0
134,0.4,30,S,75.0363943630109,0.4858838236752181,0.09305558349070091,1,0,0
135,0.35,30,S,79.89890495583798,0.4907182433365471,0.0884715251893688,1,0,0
136,0.0,0,R,413.2579325193464,0.0003409861852730536,6.334582599522426,0,0,1
137,0.0,0,R,1.648770325867568,0.31949593768535384,0.05672393704832801,0,1,0
138,0.45,0,R,301.3543802633313,0.0025208950502173433,0.03545406002224298,0,0,1
139,0.45,0,R,57.93397517242204,0.8625625075816049,0.18594790923825422,0,1,0
140,0.3,0,R,309.1650749340097,6.359106830028097e-06,9.126443390654296e-06,0,0,1
141,0.3,0,R,57.202077302708254,0.8716007054786188,0.22763127681626924,0,1,0
142,0.05,0,R,311.9447978285624,0.004994435815311509,0.018943229626476266,0,0,1
143,0.05,0,R,56.16959506475849,0.7014466020374428,0.18197832675645403,0,1,0
144,0.25,0,R,300.8976452703479,4.361783890196661e-06,8.285805269276412e-06,0,0,1
145,0.25,0,R,55.10244943236296,0.38349626982560103,0.07175006066523942,0,1,0
146,0.15,0,R,286.63183249006545,1.8583900523333736e-05,0.010064696439853534,0,0,1
147,0.15,0,R,58.34703650309032,0.5128599262052026,0.11623524042517673,0,1,0
148,0.35,0,R,283.58825768602463,0.0003244343878803494,0.02054454853850061,0,0,1
149,0.35,0,R,56.9547466473625,0.8785473495458641,0.22584942949754583,0,1,0
150,0.4,0,R,316.4115010901913,4.59519118838244e-06,2.5307388663540415e-05,0,0,1
151,0.4,0,R,57.31565009846345,0.7322704307887189,0.19811111691936348,0,1,0
152,0.2,0,R,321.52124048031936,0.01650995268953242,0.11690599686537634,0,0,1
153,0.2,0,R,57.54543633126965,0.653701100031887,0.15478064159295782,0,1,0
154,0.5,0,R,246.41018223857327,0.0004932613573507817,0.0007107991019483399,0,0,1
155,0.5,0,R,57.24858789497299,1.0,0.30209603817775316,0,1,0
156,0.1,0,R,315.2733599983609,5.82954591269779e-08,1.5435916965592087e-06,0,0,1
157,0.1,0,R,57.11358299546289,0.5929680399158245,0.14400131633953495,0,1,0
158,0.0,0,T,339.68167749404546,0.00750794203445623,0.0017627696516944328,0,0,1
159,0.0,0,T,5.1184169930560826,0.13423994341449616,0.03548419067271785,0,1,0
160,0.45,0,T,255.96183691628377,0.018548743338632018,0.0033763685701040658,0,0,1
161,0.45,0,T,59.67824477127611,1.1191003424152508,0.18136930635566892,0,1,0
162,0.3,0,T,317.1522267892642,0.01536606029510252,0.003528752349807093,0,0,1
163,0.3,0,T,57.45130996253865,0.8248409297177143,0.14214527750376926,0,1,0
164,0.05,0,T,345.17390247818633,0.007788700874176341,0.0021664741340946723,0,0,1
165,0.05,0,T,56.96425154236474,0.6055663007843652,0.10185025949007538,0,1,0
166,0.25,0,T,300.75189693799166,0.00906117598820829,0.0032356666418172503,0,0,1
167,0.25,0,T,58.47128807832617,0.6670598441006249,0.11858642116112089,0,1,0
168,0.15,0,T,300.95865475959664,0.01012514692886784,0.0035846747054800454,0,0,1
169,0.15,0,T,58.126636131539755,0.8809075652661905,0.17328439176331384,0,1,0
170,0.35,0,T,346.8115673394999,0.012365173532120693,0.00326640867922835,0,0,1
171,0.35,0,T,57.27670447649071,0.8539117797835424,0.1529205523262132,0,1,0
172,0.4,0,T,315.1778875965497,0.019747028158679875,0.0057190822170247796,0,0,1
173,0.4,0,T,57.89899924059543,0.8384129830106284,0.134905769950413,0,1,0
174,0.2,0,T,308.51938408229734,0.009348430351124381,0.00244272808910553,0,0,1
175,0.2,0,T,56.83773825155154,0.9055663494142372,0.15612326674391605,0,1,0
176,0.5,0,T,267.70441073995585,0.019394715898020005,0.00379321305621595,0,0,1
177,0.5,0,T,58.122101132312594,1.0,0.16146859578654005,0,1,0
178,0.1,0,T,315.3412056884665,0.006821126857778979,0.0018836664868438495,0,0,1
179,0.1,0,T,57.42426429510736,0.83262088850186,0.1601227627476248,0,1,0
180,0.0,0,S,328.98098789442395,0.0012867896802481913,0.0038463904024312887,0,0,1
181,0.0,0,S,3.9266836228228494,0.15894698082880981,0.047683826773849435,0,1,0
182,0.45,0,S,283.6993684700095,0.003921042724925184,0.0019404544306815222,0,0,1
183,0.45,0,S,58.38710548969229,1.1550856588402592,0.1944453379795231,0,1,0
184,0.3,0,S,311.91694972171575,0.004955585365852396,0.003918819787625721,0,0,1
185,0.3,0,S,56.36478551269894,0.7392940060732246,0.1194733056065716,0,1,0
186,0.05,0,S,335.89428781940984,0.0009532695815728554,0.0008436126626983419,0,0,1
187,0.05,0,S,57.75093026556572,0.6061717359281793,0.10965662071611662,0,1,0
188,0.25,0,S,320.19163170299544,0.0014246501849789275,0.0007901357542575811,0,0,1
189,0.25,0,S,57.204396082458246,0.984997545628292,0.21532879523437984,0,1,0
190,0.15,0,S,292.7113984573439,0.0017337016982279627,0.001197852995752815,0,0,1
191,0.15,0,S,56.36517350220159,0.6409442311347133,0.1725233688492062,0,1,0
192,0.35,0,S,313.1070639001963,0.0015200077015919467,0.009396950899026044,0,0,1
193,0.35,0,S,58.22249004299539,0.6878654835790863,0.13852185329632963,0,1,0
194,0.4,0,S,273.14039061665255,0.00937724986044935,0.0042215860345153,0,0,1
195,0.4,0,S,58.4317892738231,0.8185087421885546,0.1327430152792601,0,1,0
196,0.2,0,S,299.6307281210205,0.0016692765501441934,0.0009323627909112014,0,0,1
197,0.2,0,S,56.66705890231186,0.8383771700506614,0.15596785731276555,0,1,0
198,0.5,0,S,253.99676949500343,0.004433508070369416,0.0012398916535388404,0,0,1
199,0.5,0,S,58.61741306995453,1.0,0.18053073498147196,0,1,0
200,0.1,0,S,328.4275572178653,0.004856856216841877,0.014390136630880616,0,0,1
201,0.1,0,S,56.13432021021872,0.6733805416047007,0.13131845615705756,0,1,0
