,satur index,sterol conc,particle,starting conf,compress,perm,perm err
0,0.15,45,R,LOrdered,158.91365238898035,10.175333439488925,3.041855463558876
1,0.25,45,R,LOrdered,135.98858794462546,19.794465064917496,6.626882835806267
2,0.4,45,R,LOrdered,105.08581893350787,23.187985949596435,5.543970032906332
3,0.3,45,R,LOrdered,121.39417165305899,21.270064507490726,6.7689326055917105
4,0.05,45,R,LOrdered,203.4940405403115,4.74709512683584,1.3223860280515773
5,0.0,45,R,LOrdered,227.07060702397322,3.4192190828784113,1.001107133873697
6,0.1,45,R,LOrdered,179.7053467430383,7.92053342664446,2.8085394892214772
7,0.2,45,R,LOrdered,152.74068000701456,14.352015521583093,4.643106220722284
8,0.35,45,R,LOrdered,115.11507251000899,16.651677330945954,4.505581043961567
9,0.5,45,R,LOrdered,92.77631166273727,36.462859376078846,11.670092728153648
10,0.45,45,R,LOrdered,96.55119220317007,27.15960918343124,7.897558885350207
11,0.15,45,T,LOrdered,167.79715935611802,11.248504498813485,2.1239663712960493
12,0.25,45,T,LOrdered,134.04858058452012,14.114441428830308,2.8721582788853075
13,0.4,45,T,LOrdered,105.28941847615393,16.460950635711708,2.788906551060543
14,0.3,45,T,LOrdered,124.10069855546026,15.144045687828829,2.7213871531168534
15,0.05,45,T,LOrdered,201.28121351009304,9.405371449355647,1.6653904688836443
16,0.0,45,T,LOrdered,224.09612295085316,8.442021938734474,1.4036940518547871
17,0.1,45,T,LOrdered,182.1786632361854,12.775526926693972,2.508298074701181
18,0.2,45,T,LOrdered,148.86633513568157,11.103567148271173,2.123216157066705
19,0.35,45,T,LOrdered,111.92239064775494,15.014527680308639,3.0701011554607924
20,0.5,45,T,LOrdered,93.19363127003562,16.319398338735496,2.528366394875439
21,0.45,45,T,LOrdered,97.29353502632273,16.279180458027973,2.698613685476385
22,0.15,45,S,LOrdered,164.0812020542002,8.546171028304128,1.8459137569442847
23,0.25,45,S,LOrdered,134.23667034528643,11.730075298786556,2.230532878235229
24,0.4,45,S,LOrdered,107.50934652264093,17.09651916320949,3.472268518140094
25,0.3,45,S,LOrdered,121.37463642071573,13.973429940555942,2.9818043717360037
26,0.05,45,S,LOrdered,206.15424704810044,7.252824539924195,1.7834185322841087
27,0.0,45,S,LOrdered,219.0511917433545,5.922501789474597,1.6274270205170434
28,0.0,45,S,LOrdered(1),,5.870740229334926,1.132085455823391
29,0.1,45,S,LOrdered,183.07324256200644,7.214556294736397,1.6088410801414863
30,0.2,45,S,LOrdered,146.93477027672824,9.926312880262223,1.8883926138709906
31,0.35,45,S,LOrdered,115.58238487388569,11.020802029025067,1.9105962757220623
32,0.5,45,S,LOrdered,92.42909628488577,16.502108971414287,3.0115393130290613
33,0.45,45,S,LOrdered,97.61939511800139,17.169280573460235,3.463702780447351
34,0.2,15,R,gel,18.527468762554715,42.67580803584862,22.07588016717912
35,0.2,15,R,fluid,68.24824446644125,38.157663250513075,8.55094037637724
36,0.3,15,R,gel,52.20229575606829,38.507070553733854,11.471784475318817
