ID,satur index,sterol conc,particle,log10_compress,log10_perm,perm err,starting conf_LOrdered,starting conf_fluid,starting conf_gel
0,0.15,45,0,2.2011612093691326,1.0075486496965087,3.0418554635588766,1,0,0
1,0.25,45,0,2.133502464247935,1.2965437696652058,6.626882835806267,1,0,0
2,0.4,45,0,2.0215441130362266,1.3652630285447498,5.543970032906332,1,0,0
3,0.3,45,0,2.084197836000538,1.327768807025662,6.768932605591711,1,0,0
4,0.05,45,0,2.3085516951418015,0.6764279346140727,1.3223860280515771,1,0,0
5,0.0,45,0,2.356160920950468,0.533926928651787,1.001107133873697,1,0,0
6,0.1,45,0,2.254560998792076,0.8987544311408864,2.808539489221477,1,0,0
7,0.2,45,0,2.183954719765576,1.1569128953860706,4.643106220722284,1,0,0
8,0.35,45,0,2.061132191391432,1.221457986724266,4.505581043961567,1,0,0
9,0.5,45,0,1.9674371030786173,1.5618507225351053,11.670092728153648,1,0,0
10,0.45,45,0,1.9847576407675254,1.4339235163190527,7.8975588853502074,1,0,0
11,0.15,45,2,2.224784604368692,1.0510947863508355,2.1239663712960493,1,0,0
12,0.25,45,2,2.1272622196797775,1.1496636958604263,2.8721582788853075,1,0,0
13,0.4,45,2,2.0223847270417914,1.2164549125240187,2.788906551060543,1,0,0
14,0.3,45,2,2.0937742261234504,1.1802419111737819,2.7213871531168534,1,0,0
15,0.05,45,2,2.3038032421035517,0.9733759519565649,1.6653904688836445,1,0,0
16,0.0,45,2,2.350434342944629,0.926446476444182,1.4036940518547871,1,0,0
17,0.1,45,2,2.2604975110485723,1.1063788216549864,2.508298074701181,1,0,0
18,0.2,45,2,2.17279649682652,1.0454625232853665,2.123216157066705,1,0,0
19,0.35,45,2,2.0489169780566776,1.1765116749258095,3.0701011554607924,1,0,0
20,0.5,45,2,1.9693862342554058,1.2127041432055972,2.528366394875439,1,0,0
21,0.45,45,2,1.9880839831699457,1.2116325374380053,2.698613685476385,1,0,0
22,0.15,45,1,2.2150588290009354,0.931771579787696,1.8459137569442847,1,0,0
23,0.25,45,1,2.1278711712214937,1.0693007999878679,2.230532878235229,1,0,0
24,0.4,45,1,2.0314462220819336,1.2329076974043565,3.4722685181400936,1,0,0
25,0.3,45,1,2.0841279419833043,1.1453030218207971,2.981804371736004,1,0,0
26,0.05,45,1,2.314192286265949,0.8605071711520208,1.7834185322841087,1,0,0
27,0.0,45,1,2.340545620290523,0.772505200616217,1.6274270205170434,1,0,0
28,0.0,45,1,,0.7686928639814196,1.132085455823391,1,0,0
29,0.1,45,1,2.262624873756389,0.8582096265351161,1.6088410801414863,1,0,0
30,0.2,45,1,2.1671245783123765,0.9967879601651365,1.8883926138709903,1,0,0
31,0.35,45,1,2.062891651255845,1.0422132010589047,1.9105962757220625,1,0,0
32,0.5,45,1,1.9658087067918122,1.2175394506453139,3.0115393130290613,1,0,0
33,0.45,45,1,1.9895361122968591,1.2347520977513504,3.4637027804473512,1,0,0
34,0.2,15,0,1.2678160897158086,1.6301817529194707,22.075880167179122,0,0,1
35,0.2,15,0,1.8340914846015404,1.5815817709460747,8.550940376377241,0,1,0
36,0.3,15,0,1.7176896028541417,1.5855404806912727,11.471784475318813,0,0,1
37,0.3,15,0,1.8123801002625721,1.586958689924706,8.48993704344386,0,1,0
38,0.05,15,0,2.7286730933252072,0.3284043808691087,3.145505876252444,0,0,1
39,0.05,15,0,1.8612862235853174,1.4474447897569727,7.353097169971077,0,1,0
40,0.5,15,0,1.7715653220280654,1.6535156294608553,9.907211332469231,0,0,1
41,0.5,15,0,1.7860990095912812,1.9118619938633727,21.846432912543765,0,1,0
42,0.0,15,0,2.794330213717209,-0.9039935703764612,0.31655716588951666,0,0,1
43,0.0,15,0,1.2766494319628638,0.39813280477215063,18.962226598934613,0,1,0
44,0.1,15,0,2.6621745096162597,0.10710854705262153,2.41608557638316,0,0,1
45,0.1,15,0,1.8503557018043728,1.6694897447123824,12.48309081530136,0,1,0
46,0.45,15,0,1.7685212208743266,1.6462426285829312,10.092559006249733,0,0,1
47,0.45,15,0,1.7932900148989603,1.7272638347426639,12.196358450674676,0,1,0
48,0.25,15,0,1.4735271988667191,1.7041587829165292,12.505244557239884,0,0,1
49,0.25,15,0,1.816836852196687,1.7473696431085757,14.635777012683466,0,1,0
50,0.15,15,0,0.5290532443838506,1.3958532709284315,9.5559170457349,0,0,1
51,0.15,15,0,1.835647019527067,1.6295759654189415,9.171107545870939,0,1,0
52,0.4,15,0,1.7430060366071594,1.6955221913030731,12.453949953183427,0,0,1
53,0.4,15,0,1.8042757694373892,1.785834946118486,16.349735349182065,0,1,0
54,0.35,15,0,1.7193117272110614,1.631497519007636,7.6647975941460675,0,0,1
55,0.35,15,0,1.8078714071451452,1.6992990847550953,11.85037460315904,0,1,0
56,0.2,15,2,0.9666396943160189,1.0808531844507538,3.0726870469009766,0,0,1
57,0.2,15,2,1.8376602129713597,1.4432582414284747,5.421825870957911,0,1,0
58,0.3,15,2,1.5564518733291854,1.4205587359854073,4.21643162103955,0,0,1
59,0.3,15,2,1.8101768766971336,1.5232192239610023,5.890147901560668,0,1,0
60,0.05,15,2,2.6952055382710185,0.07917884813416876,0.2545526142029783,0,0,1
61,0.05,15,2,1.8576314707732884,1.2424961672325128,2.7119273325127446,0,1,0
62,0.5,15,2,1.7615940571941087,1.51763630926194,6.488755533464667,0,0,1
63,0.5,15,2,1.7898723079635652,1.5078246394680546,5.479505435218189,0,1,0
64,0.0,15,2,2.7950289720098964,0.019452343451643497,0.23122727289382836,0,0,1
65,0.0,15,2,1.8957117759711768,-0.10226318164377932,0.16523717935277935,0,1,0
66,0.1,15,2,2.7090293118429702,0.25727266843868757,0.3161627673235583,0,0,1
67,0.1,15,2,1.8533708137626288,1.3355353120455213,3.5430057465093214,0,1,0
68,0.45,15,2,1.7689071213455145,1.433396548307787,4.693903057878014,0,0,1
69,0.45,15,2,1.7810192049110023,1.4740134545726542,4.960184568631381,0,1,0
70,0.25,15,2,1.339235588405778,1.4537731436255363,5.5026783417982585,0,0,1
71,0.25,15,2,1.8207229309226942,1.3877885849737301,3.973503580175652,0,1,0
72,0.15,15,2,2.5886550562732187,0.2960814380099695,0.29667806036301736,0,0,1
73,0.15,15,2,1.8455989940444038,1.3973304326367346,4.180925326129821,0,1,0
74,0.4,15,2,1.7363788898234471,1.5153310335034322,5.126980813782116,0,0,1
75,0.4,15,2,1.799373119289655,1.5069605202695395,5.454081817301849,0,1,0
76,0.35,15,2,1.7510911792867365,1.3584338941684007,4.00435460490509,0,0,1
77,0.35,15,2,1.8135000601569804,1.4280908501493403,4.346241679205177,0,1,0
78,0.2,15,1,0.8252145930930687,0.8957906816286327,1.967393352958668,0,0,1
79,0.2,15,1,1.8315390603964636,1.4137457561687572,4.6029227661150856,0,1,0
80,0.3,15,1,1.622217044454443,1.4870172712588126,5.6047625294717465,0,0,1
81,0.3,15,1,1.808037171240224,1.541347710293276,8.000718034515558,0,1,0
82,0.05,15,1,2.707405906359873,-0.24819142341690822,0.18137081542083253,0,0,1
83,0.05,15,1,1.8517170681085526,1.2875995972649164,3.7917034328754,0,1,0
84,0.5,15,1,1.752785734791345,1.6515911899201052,8.628286069824112,0,0,1
85,0.5,15,1,1.7925144271700644,1.5057602438419644,6.279151918246352,0,1,0
86,0.0,15,1,2.790952322769129,-0.46425969133969014,0.10663188798736324,0,0,1
87,0.0,15,1,,-0.021361057913710537,0.8785095808187853,0,1,0
88,0.0,15,1,,-0.5641261472482652,0.13833946769048364,0,0,1
89,0.0,15,1,2.0019236479537708,-0.3208162607229797,0.35172051440674185,0,1,0
90,0.1,15,1,2.63470976168607,-0.18050538130834923,0.21946983351905566,0,0,1
91,0.1,15,1,1.857053893438791,1.3552489048007632,3.4548380605710585,0,1,0
92,0.45,15,1,1.75296418440121,1.6790452647534544,9.937514788536992,0,0,1
93,0.45,15,1,1.787285676548645,1.5278153912041226,5.6510984572300895,0,1,0
94,0.25,15,1,1.2630875526325234,1.4009968673666449,5.253715241311026,0,0,1
95,0.25,15,1,1.8273252063544456,1.5209898187716115,5.739577818020765,0,1,0
96,0.15,15,1,2.554562616379722,-0.013749871288057883,0.2345030891994905,0,0,1
97,0.15,15,1,1.8447988806558433,1.39281952217801,4.022117141351882,0,1,0
98,0.4,15,1,1.7514692956883693,1.4757022717739636,4.6908169460478115,0,0,1
99,0.4,15,1,1.790564021141732,1.5965282145053408,6.965157148525583,0,1,0
100,0.35,15,1,1.730345497965151,1.4642676484323842,5.5003787950088885,0,0,1
101,0.35,15,1,1.8014448257589004,1.4931769551680183,6.074196332166898,0,1,0
102,0.2,30,0,1.9808151637202023,1.3752358643974167,6.995653096133943,1,0,0
103,0.3,30,0,1.9182802316872931,1.4620951893990313,7.653485542447973,1,0,0
104,0.05,30,0,2.0694350943216455,1.1840104817510078,4.482161740283977,1,0,0
105,0.5,30,0,1.8570148061317342,1.5880314901165464,9.16611398045159,1,0,0
106,0.0,30,0,2.0627387331745957,1.1459346991033807,3.8474862212363736,1,0,0
107,0.1,30,0,2.023156749279802,1.0948524219353728,2.8244883105682166,1,0,0
108,0.45,30,0,1.8613661936236923,1.5917191467766107,14.031968976029784,1,0,0
109,0.25,30,0,1.9451569511581803,1.4918861499145593,17.194711122806527,1,0,0
110,0.15,30,0,1.9924018441143279,1.2653544207045189,5.459318305193311,1,0,0
111,0.4,30,0,1.8745610000199857,1.4447134790429272,6.4616101700590685,1,0,0
112,0.35,30,0,1.8970107311357882,1.5460061077331178,9.613843934279206,1,0,0
113,0.2,30,2,1.9715872508484886,1.255070553273701,2.5980614734916228,1,0,0
114,0.3,30,2,1.9195337537758956,1.3131338980633573,3.267238554990129,1,0,0
115,0.05,30,2,2.0634793572135206,1.0207455261789689,1.8167739544610784,1,0,0
116,0.5,30,2,1.8467836980231902,1.3691216383972382,3.978393448362397,1,0,0
117,0.0,30,2,2.0695884501028403,1.0380495262798421,1.7045651099628725,1,0,0
118,0.1,30,2,2.0296771885235483,1.1240450928489432,1.9415215910410912,1,0,0
119,0.45,30,2,1.8781032146127221,1.333659292347205,3.1689302086689275,1,0,0
120,0.25,30,2,1.946510819804892,1.4005082582947865,5.000714564146222,1,0,0
121,0.15,30,2,2.007600184463054,1.2445663601626047,3.0661947615391423,1,0,0
122,0.4,30,2,1.8779648609901194,1.3310296803417605,3.5647467917108107,1,0,0
123,0.35,30,2,1.9047039464514102,1.4091841948343362,5.380991067708669,1,0,0
124,0.2,30,1,1.9725981820188085,1.350049258637137,4.338009763664377,1,0,0
125,0.3,30,1,1.9204764616349204,1.2912126106413853,3.667459711910004,1,0,0
126,0.05,30,1,2.0524864716126885,1.1455367182999023,2.4591672323301608,1,0,0
127,0.5,30,1,1.848534772680333,1.5653310286540336,9.396249299136494,1,0,0
128,0.0,30,1,2.063535899990922,0.9277777916080518,1.344580776518521,1,0,0
129,0.0,30,1,,0.9119517184246668,1.361119037053388,1,0,0
130,0.1,30,1,2.0402450489878894,1.0636629951590029,1.8033210657159815,1,0,0
131,0.45,30,1,1.8695351896904513,1.4537784520387667,5.538162954229707,1,0,0
132,0.25,30,1,1.9490615044218373,1.383450904639288,5.548325750037517,1,0,0
133,0.15,30,1,2.0185937938989498,1.1493969041874357,2.54988237652516,1,0,0
134,0.4,30,1,1.875271957222422,1.370579919184177,4.4956233195528865,1,0,0
135,0.35,30,1,1.9025408271876343,1.3748796826255258,4.274162138776797,1,0,0
136,0.0,0,0,2.616221198641103,-1.5061683805800363,579.1790424707423,0,0,1
137,0.0,0,0,0.21716016252422476,1.465560175672555,5.186342593006546,0,1,0
138,0.45,0,0,2.4790775084316676,-0.6373503993805983,3.2416103528164624,0,0,1
139,0.45,0,0,1.7629333288825777,1.8968854121308323,17.00145673847051,0,1,0
140,0.3,0,0,2.4901904276132782,-3.2355090439166254,0.0008344424689577966,0,0,1
141,0.3,0,0,1.7574118005539014,1.901412408188596,20.81262070097229,0,1,0
142,0.05,0,0,2.494077747481408,-0.3404187286276251,1.7320038730244172,0,0,1
143,0.05,0,0,1.7495012929917766,1.8070894508385607,16.638512701559378,0,1,0
144,0.25,0,0,2.4784187891023413,-3.3992410207703916,0.0007575818432488898,0,0,1
145,0.25,0,0,1.741170904683274,1.54485597912315,6.560200420536631,0,1,0
146,0.15,0,0,2.457324420210273,-2.7697682928171585,0.9202281531907937,0,0,1
147,0.15,0,0,1.7660188027457564,1.67109360062887,10.627537677997255,0,1,0
148,0.35,0,0,2.452688244396287,-1.5277782846100811,1.8784145227531732,0,0,1
149,0.35,0,0,1.7555299243212414,1.9048600079738631,20.649704106599508,0,1,0
150,0.4,0,0,2.500252261074776,-3.3766015794708837,0.002313887127257494,0,0,1
151,0.4,0,0,1.758273222724622,1.8257663326956575,18.113554476157084,0,1,0
152,0.2,0,0,2.5072096687647147,0.17884066385600833,10.688865802883523,0,0,1
153,0.2,0,0,1.7600108873969915,1.7764740508802288,14.151793331667188,0,1,0
154,0.5,0,0,2.391658649915517,-1.345828071229347,0.06498927700248794,0,0,1
155,0.5,0,0,1.7577647787501869,1.961094835093787,27.621029701181413,0,1,0
156,0.1,0,0,2.4986872752372773,-5.273270437812741,0.00014113257609843976,0,0,1
157,0.1,0,0,1.7567394062923736,1.7341261212704444,13.166225746009872,0,1,0
158,0.0,0,2,2.531072121559937,-0.539500145025815,0.06779138534451642,0,0,1
159,0.0,0,2,0.7091356645926101,0.7128607044287336,1.3646266494435295,0,1,0
160,0.45,0,2,2.4081752182330405,-0.14670656411888594,0.12984606501537124,0,0,1
161,0.45,0,2,1.7758160413855382,1.6338479726327213,6.974976296537767,0,1,0
162,0.3,0,2,2.5012677650126713,-0.22845852300020011,0.13570633582283154,0,0,1
163,0.3,0,2,1.7592999356007366,1.5013491470972837,5.466525517329268,0,1,0
164,0.05,0,2,2.538037952633645,-0.5235560309524392,0.08331677523615454,0,0,1
165,0.05,0,2,1.7556023955249163,1.3671406430803585,3.9168873720362662,0,1,0
166,0.25,0,2,2.478208375254124,-0.4578364905375522,0.12443504683154932,0,0,1
167,0.25,0,2,1.7669426611221757,1.4091437416400103,4.560515190304744,0,1,0
