,index,dG,perm,logPerm,logPart,dGOW,POW,perm,log10(perm)
0,SC5,0.3961832500000002,11545.712111621013,0.06242072431338701,0.06938410683012262,6.3,1.103327496,11550.0,-0.9374180158
1,SC6,0.2760062499999998,12769.91680278084,0.10618806780289122,0.04833734676007002,5.3,0.9281961471,12770.0,-0.8938091026999999
2,SN1,0.05519449999999959,10359.593555077241,0.01534271677506295,0.009666287215411486,3.6,0.6304728546,10360.0,-0.9846402445999999
3,SN2,-0.39949700000000044,7047.14623078723,-0.15198671664448352,-0.06996444833625226,2.1319999999999997,0.373380035,7690.0,-1.11407366
4,SN3,-1.939408275,2049.3280059103663,-0.6883885248802786,-0.3396511865148861,-1.8,-0.3152364273,2050.0,-1.688246139
5,SN5,-3.8550445475,401.9713726772274,-1.3958048751021286,-0.6751391501751314,-3.6,-0.6304728546,402.0,-2.395773947
6,SP1,-5.243564549999999,96.82906041874399,-2.013994282304898,-0.9183125306479859,-5.2,-0.9106830123,97.0,-3.013228266
7,SP3,-6.6144642355,34.6187234832542,-2.460688950163678,-1.1584000412434325,-7.7,-1.348511384,35.0,-3.455931956
8,SP6,-11.921796096249999,0.17341940686795193,-4.760902303491575,-2.0878802270140104,-12.2,-2.136602452,0.17,-5.769551079
