,perm nm/us,perm relerr
./DNPC_di-C24-C26-1/awh-perm,0.2228605269501065,0.03785606669604441
./DGPC_di-C20-C22-1/awh-perm,0.3017799845614007,0.039689079352928376
./DOPC_di-C16-C18-1/awh-perm,0.4843590720886853,0.05488073768278886
./DYPC_di-C12-C14-1/awh-perm,1.0,0.07818071305130143
